izq,izq_title,der,der_title,conf,supp,lift,conv
8542,"Day at the Races, A (1937)",7132,"Night at the Opera, A (1935)",0.76,0.0,93.78,4.14
36519,Transporter 2 (2005),5574,"Transporter, The (2002)",0.71,0.0,90.87,3.47
25777,Monkey Business (1931),7132,"Night at the Opera, A (1935)",0.72,0.0,89.4,3.6
7091,Horse Feathers (1932),7132,"Night at the Opera, A (1935)",0.7,0.0,86.35,3.31
7937,"Silence, The (Tystnaden) (1963)",5147,Wild Strawberries (Smultronstället) (1957),0.73,0.0,81.12,3.63
7938,Winter Light (Nattvardsgästerna) (1963),5147,Wild Strawberries (Smultronstället) (1957),0.71,0.0,79.79,3.48
7939,Through a Glass Darkly (Såsom i en spegel) (1961),5147,Wild Strawberries (Smultronstället) (1957),0.71,0.0,79.79,3.48
7055,Swing Time (1936),945,Top Hat (1935),0.82,0.0,70.9,5.63
55232,Resident Evil: Extinction (2007),5219,Resident Evil (2002),0.71,0.0,68.66,3.38
42738,Underworld: Evolution (2006),6754,Underworld (2003),0.75,0.0,67.96,4.0
103335,Despicable Me 2 (2013),79091,Despicable Me (2010),0.75,0.0,67.6,3.98
907,"Gay Divorcee, The (1934)",945,Top Hat (1935),0.77,0.0,65.84,4.22
65682,Underworld: Rise of the Lycans (2009),6754,Underworld (2003),0.72,0.0,65.13,3.55
74510,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",67255,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",0.89,0.0,64.42,9.03
3306,"Circus, The (1928)",3629,"Gold Rush, The (1925)",0.71,0.0,63.74,3.38
73323,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",67255,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",0.87,0.0,62.56,7.31
39869,Manderlay (2005),7371,Dogville (2003),0.81,0.0,60.64,5.33
5643,Powaqqatsi (1988),1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),0.82,0.0,59.21,5.44
106489,"Hobbit: The Desolation of Smaug, The (2013)",98809,"Hobbit: An Unexpected Journey, The (2012)",0.73,0.0,59.08,3.64
6731,Day of the Dead (1985),7387,Dawn of the Dead (1978),0.73,0.0,56.15,3.65
56921,Battlestar Galactica: Razor (2007),27611,Battlestar Galactica (2003),0.87,0.0,55.99,7.4
101525,"Place Beyond the Pines, The (2012)",88129,Drive (2011),0.73,0.0,55.32,3.59
56775,National Treasure: Book of Secrets (2007),8972,National Treasure (2004),0.7,0.0,53.54,3.34
3306,"Circus, The (1928)",3307,City Lights (1931),0.77,0.0,51.71,4.27
3559,Limelight (1952),3307,City Lights (1931),0.7,0.0,47.07,3.29
100714,Before Midnight (2013),8638,Before Sunset (2004),0.77,0.0,46.01,4.27
2654,"Wolf Man, The (1941)",2648,Frankenstein (1931),0.72,0.0,45.66,3.5
69526,Transformers: Revenge of the Fallen (2009),53996,Transformers (2007),0.74,0.0,45.15,3.8
7043,Vivre sa vie: Film en douze tableaux (My Life to Live) (1962),2731,"400 Blows, The (Les quatre cents coups) (1959)",0.71,0.0,44.15,3.38
48877,Saw III (2006),8957,Saw (2004),0.84,0.0,43.82,6.31
87222,Kung Fu Panda 2 (2011),59784,Kung Fu Panda (2008),0.76,0.0,43.63,4.07
39446,Saw II (2005),8957,Saw (2004),0.84,0.0,43.62,6.15
87520,Transformers: Dark of the Moon (2011),53996,Transformers (2007),0.7,0.0,42.94,3.33
55577,Saw IV (2007),8957,Saw (2004),0.83,0.0,42.9,5.66
6611,Umberto D. (1952),3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),0.71,0.0,39.98,3.38
1132,Manon of the Spring (Manon des sources) (1986),1131,Jean de Florette (1986),0.73,0.01,39.74,3.59
7834,After the Thin Man (1936),950,"Thin Man, The (1934)",0.76,0.0,38.57,4.04
7831,Another Thin Man (1939),950,"Thin Man, The (1934)",0.75,0.0,38.2,3.92
2789,Damien: Omen II (1978),1350,"Omen, The (1976)",0.76,0.0,37.99,4.15
3306,"Circus, The (1928)",3462,Modern Times (1936),0.78,0.0,37.33,4.4
2946,Help! (1965),2863,"Hard Day's Night, A (1964)",0.74,0.01,37.32,3.73
2372,Fletch Lives (1989),2371,Fletch (1985),0.77,0.0,36.71,4.26
106072,Thor: The Dark World (2013),89745,"Avengers, The (2012)",0.87,0.0,36.63,7.26
2905,Sanjuro (Tsubaki Sanjûrô) (1962),3030,Yojimbo (1961),0.77,0.01,36.39,4.25
8199,Ugetsu (Ugetsu monogatari) (1953),5291,Rashomon (Rashômon) (1950),0.74,0.0,35.51,3.82
3632,Monsieur Verdoux (1947),3462,Modern Times (1936),0.74,0.0,35.43,3.73
3559,Limelight (1952),3462,Modern Times (1936),0.73,0.0,35.26,3.69
6535,"Legally Blonde 2: Red, White & Blonde (2003)",4447,Legally Blonde (2001),0.74,0.0,34.87,3.74
7924,Stray Dog (Nora inu) (1949),5291,Rashomon (Rashômon) (1950),0.73,0.0,34.84,3.62
1971,"Nightmare on Elm Street 4: The Dream Master, A (1988)",1347,"Nightmare on Elm Street, A (1984)",0.76,0.0,34.14,4.03
5498,Red Beard (Akahige) (1965),5291,Rashomon (Rashômon) (1950),0.71,0.0,33.99,3.4
7766,Throne of Blood (Kumonosu jô) (1957),5291,Rashomon (Rashômon) (1950),0.71,0.0,33.79,3.35
103772,"Wolverine, The (2013)",89745,"Avengers, The (2012)",0.8,0.0,33.76,4.83
7924,Stray Dog (Nora inu) (1949),3030,Yojimbo (1961),0.71,0.0,33.67,3.4
7926,High and Low (Tengoku to jigoku) (1963),5291,Rashomon (Rashômon) (1950),0.7,0.0,33.53,3.29
102125,Iron Man 3 (2013),89745,"Avengers, The (2012)",0.78,0.01,33.13,4.5
7939,Through a Glass Darkly (Såsom i en spegel) (1961),1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.74,0.0,33.06,3.7
59501,"Chronicles of Narnia: Prince Caspian, The (2008)",41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",0.74,0.0,32.95,3.73
7938,Winter Light (Nattvardsgästerna) (1963),1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.73,0.0,32.94,3.66
1983,Halloween II (1981),1982,Halloween (1978),0.79,0.0,32.73,4.55
1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",1347,"Nightmare on Elm Street, A (1984)",0.72,0.0,32.35,3.46
112175,How to Train Your Dragon 2 (2014),76093,How to Train Your Dragon (2010),0.77,0.0,32.34,4.23
110102,Captain America: The Winter Soldier (2014),89745,"Avengers, The (2012)",0.76,0.0,32.28,4.12
1969,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",1347,"Nightmare on Elm Street, A (1984)",0.71,0.0,32.1,3.39
7937,"Silence, The (Tystnaden) (1963)",1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.71,0.0,32.01,3.4
103042,Man of Steel (2013),89745,"Avengers, The (2012)",0.75,0.0,31.83,3.94
7941,Smiles of a Summer Night (Sommarnattens leende) (1955),1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.7,0.0,31.61,3.3
4945,"Enforcer, The (1976)",4855,Dirty Harry (1971),0.78,0.0,31.6,4.5
7792,"Parallax View, The (1974)",6787,All the President's Men (1976),0.72,0.0,31.11,3.46
88140,Captain America: The First Avenger (2011),89745,"Avengers, The (2012)",0.73,0.01,30.89,3.62
95510,"Amazing Spider-Man, The (2012)",89745,"Avengers, The (2012)",0.72,0.0,30.49,3.49
746,Force of Evil (1948),1248,Touch of Evil (1958),0.81,0.0,30.08,5.2
91542,Sherlock Holmes: A Game of Shadows (2011),73017,Sherlock Holmes (2009),0.72,0.01,29.62,3.44
103042,Man of Steel (2013),91529,"Dark Knight Rises, The (2012)",0.71,0.0,29.39,3.38
99813,"Batman: The Dark Knight Returns, Part 2 (2013)",91529,"Dark Knight Rises, The (2012)",0.71,0.0,29.38,3.37
69844,Harry Potter and the Half-Blood Prince (2009),54001,Harry Potter and the Order of the Phoenix (2007),0.7,0.01,28.64,3.27
4426,Kiss Me Deadly (1955),1248,Touch of Evil (1958),0.75,0.0,27.78,3.9
2408,Cocoon: The Return (1988),2407,Cocoon (1985),0.78,0.0,27.25,4.5
25940,"Lady from Shanghai, The (1947)",1248,Touch of Evil (1958),0.72,0.0,26.78,3.52
4426,Kiss Me Deadly (1955),3435,Double Indemnity (1944),0.77,0.0,26.76,4.31
3966,Detour (1945),3435,Double Indemnity (1944),0.77,0.0,26.64,4.24
86911,"Hangover Part II, The (2011)",69122,"Hangover, The (2009)",0.85,0.0,26.42,6.26
27731,"Cat Returns, The (Neko no ongaeshi) (2002)",31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),0.77,0.0,26.17,4.29
6273,In a Lonely Place (1950),3435,Double Indemnity (1944),0.75,0.0,26.01,3.93
27592,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),27773,Old Boy (2003),0.86,0.0,25.82,6.98
53125,Pirates of the Caribbean: At World's End (2007),45722,Pirates of the Caribbean: Dead Man's Chest (2006),0.77,0.01,25.65,4.16
2204,Saboteur (1942),2186,Strangers on a Train (1951),0.75,0.0,25.48,3.88
42632,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),27773,Old Boy (2003),0.85,0.0,25.47,6.44
2182,"Wrong Man, The (1956)",2186,Strangers on a Train (1951),0.75,0.0,25.39,3.84
25777,Monkey Business (1931),1256,Duck Soup (1933),0.79,0.0,25.38,4.69
26903,Whisper of the Heart (Mimi wo sumaseba) (1995),5971,My Neighbor Totoro (Tonari no Totoro) (1988),0.77,0.0,25.27,4.23
7943,"Killers, The (1946)",3435,Double Indemnity (1944),0.73,0.0,25.15,3.57
25827,Mr. Deeds Goes to Town (1936),954,Mr. Smith Goes to Washington (1939),0.75,0.0,24.94,3.91
929,Foreign Correspondent (1940),930,Notorious (1946),0.72,0.0,24.79,3.52
2210,Sabotage (1936),2186,Strangers on a Train (1951),0.73,0.0,24.64,3.53
2210,Sabotage (1936),930,Notorious (1946),0.72,0.0,24.6,3.46
2206,Suspicion (1941),930,Notorious (1946),0.72,0.01,24.57,3.45
4432,Sweet Smell of Success (1957),3435,Double Indemnity (1944),0.71,0.0,24.56,3.36
27731,"Cat Returns, The (Neko no ongaeshi) (2002)",5971,My Neighbor Totoro (Tonari no Totoro) (1988),0.75,0.0,24.54,3.85
2661,It Came from Outer Space (1953),1253,"Day the Earth Stood Still, The (1951)",0.75,0.0,24.54,3.94
7573,Never Say Never Again (1983),2949,Dr. No (1962),0.7,0.0,24.52,3.28
4798,Indiscreet (1958),930,Notorious (1946),0.71,0.0,24.44,3.4
746,Force of Evil (1948),930,Notorious (1946),0.71,0.0,24.44,3.4
1068,Crossfire (1947),930,Notorious (1946),0.71,0.0,24.32,3.36
7573,Never Say Never Again (1983),2948,From Russia with Love (1963),0.71,0.0,24.3,3.37
1995,Poltergeist II: The Other Side (1986),1994,Poltergeist (1982),0.78,0.0,24.28,4.45
26903,Whisper of the Heart (Mimi wo sumaseba) (1995),31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),0.71,0.0,24.14,3.39
1069,"Murder, My Sweet (1944)",1284,"Big Sleep, The (1946)",0.78,0.0,24.03,4.44
1068,Crossfire (1947),1284,"Big Sleep, The (1946)",0.77,0.0,23.8,4.29
26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),5971,My Neighbor Totoro (Tonari no Totoro) (1988),0.72,0.01,23.57,3.45
27728,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),741,Ghost in the Shell (Kôkaku kidôtai) (1995),0.82,0.0,23.41,5.24
27397,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),27773,Old Boy (2003),0.78,0.0,23.41,4.42
746,Force of Evil (1948),1284,"Big Sleep, The (1946)",0.76,0.0,23.31,4.01
7091,Horse Feathers (1932),1256,Duck Soup (1933),0.72,0.0,23.11,3.49
26662,Kiki's Delivery Service (Majo no takkyûbin) (1989),5971,My Neighbor Totoro (Tonari no Totoro) (1988),0.7,0.01,23.03,3.26
8542,"Day at the Races, A (1937)",1256,Duck Soup (1933),0.7,0.0,22.46,3.25
6273,In a Lonely Place (1950),1284,"Big Sleep, The (1946)",0.73,0.0,22.44,3.59
5017,"Big Heat, The (1953)",1284,"Big Sleep, The (1946)",0.73,0.0,22.3,3.53
2066,Out of the Past (1947),1284,"Big Sleep, The (1946)",0.72,0.0,22.25,3.51
7217,Dark Passage (1947),1284,"Big Sleep, The (1946)",0.72,0.0,22.25,3.51
81537,Due Date (2010),69122,"Hangover, The (2009)",0.71,0.0,22.24,3.36
937,Love in the Afternoon (1957),916,Roman Holiday (1953),0.72,0.0,22.22,3.42
31364,Memories of Murder (Salinui chueok) (2003),27773,Old Boy (2003),0.74,0.0,22.2,3.73
8225,Night of the Living Dead (1990),968,Night of the Living Dead (1968),0.74,0.0,22.15,3.65
4426,Kiss Me Deadly (1955),1284,"Big Sleep, The (1946)",0.71,0.0,21.7,3.29
7216,High Sierra (1941),1284,"Big Sleep, The (1946)",0.7,0.0,21.54,3.24
308,Three Colors: White (Trzy kolory: Bialy) (1994),307,Three Colors: Blue (Trois couleurs: Bleu) (1993),0.74,0.02,21.37,3.66
8157,Jin Roh: The Wolf Brigade (Jin-Rô) (1998),741,Ghost in the Shell (Kôkaku kidôtai) (1995),0.74,0.0,21.36,3.77
6530,"Tenant, The (Locataire, Le) (1976)",2160,Rosemary's Baby (1968),0.7,0.0,20.69,3.26
8969,Bridget Jones: The Edge of Reason (2004),4246,Bridget Jones's Diary (2001),0.8,0.0,20.29,4.7
6273,In a Lonely Place (1950),1212,"Third Man, The (1949)",0.78,0.0,20.21,4.35
4084,Beverly Hills Cop II (1987),4085,Beverly Hills Cop (1984),0.73,0.01,20.02,3.62
25940,"Lady from Shanghai, The (1947)",1212,"Third Man, The (1949)",0.76,0.0,19.61,3.94
6273,In a Lonely Place (1950),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.75,0.0,19.61,3.89
7584,Woman of the Year (1942),898,"Philadelphia Story, The (1940)",0.73,0.0,19.56,3.56
746,Force of Evil (1948),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.75,0.0,19.51,3.83
8712,My Favorite Wife (1940),898,"Philadelphia Story, The (1940)",0.72,0.0,19.35,3.46
49932,Inland Empire (2006),4848,Mulholland Drive (2001),0.82,0.0,19.25,5.42
44022,Ice Age 2: The Meltdown (2006),5218,Ice Age (2002),0.79,0.0,19.2,4.66
5177,"Magnificent Ambersons, The (1942)",1212,"Third Man, The (1949)",0.74,0.0,19.19,3.7
25940,"Lady from Shanghai, The (1947)",922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.74,0.0,19.17,3.64
308,Three Colors: White (Trzy kolory: Bialy) (1994),306,Three Colors: Red (Trois couleurs: Rouge) (1994),0.76,0.02,19.16,4.01
3736,"Ace in the Hole (Big Carnival, The) (1951)",922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.73,0.0,19.1,3.6
1068,Crossfire (1947),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.73,0.0,18.9,3.5
54001,Harry Potter and the Order of the Phoenix (2007),40815,Harry Potter and the Goblet of Fire (2005),0.76,0.02,18.83,3.94
102445,Star Trek Into Darkness (2013),68358,Star Trek (2009),0.72,0.01,18.83,3.46
4432,Sweet Smell of Success (1957),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.72,0.0,18.79,3.45
4426,Kiss Me Deadly (1955),1212,"Third Man, The (1949)",0.72,0.0,18.78,3.48
4426,Kiss Me Deadly (1955),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.72,0.0,18.71,3.41
3966,Detour (1945),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.72,0.0,18.67,3.39
5825,"Life and Death of Colonel Blimp, The (1943)",1212,"Third Man, The (1949)",0.72,0.0,18.63,3.41
2066,Out of the Past (1947),922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.71,0.0,18.4,3.28
3813,Interiors (1978),1244,Manhattan (1979),0.78,0.0,17.83,4.35
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),306,Three Colors: Red (Trois couleurs: Rouge) (1994),0.71,0.02,17.79,3.27
7983,Broadway Danny Rose (1984),1244,Manhattan (1979),0.77,0.0,17.64,4.19
69844,Harry Potter and the Half-Blood Prince (2009),40815,Harry Potter and the Goblet of Fire (2005),0.71,0.01,17.63,3.29
95875,Total Recall (2012),72998,Avatar (2009),0.72,0.0,17.09,3.39
93363,John Carter (2012),72998,Avatar (2009),0.71,0.0,16.9,3.3
1717,Scream 2 (1997),1407,Scream (1996),0.78,0.01,16.86,4.33
2290,Stardust Memories (1980),1244,Manhattan (1979),0.74,0.0,16.83,3.63
7573,Never Say Never Again (1983),2947,Goldfinger (1964),0.79,0.0,16.45,4.5
6934,"Matrix Revolutions, The (2003)",6365,"Matrix Reloaded, The (2003)",0.75,0.02,16.39,3.82
3254,Wayne's World 2 (1993),3253,Wayne's World (1992),0.71,0.01,16.36,3.28
2530,Beneath the Planet of the Apes (1970),2529,Planet of the Apes (1968),0.8,0.0,16.01,4.81
938,Gigi (1958),914,My Fair Lady (1964),0.74,0.01,15.8,3.71
2993,Thunderball (1965),2947,Goldfinger (1964),0.75,0.01,15.69,3.84
2532,Conquest of the Planet of the Apes (1972),2529,Planet of the Apes (1968),0.79,0.0,15.69,4.45
72356,Partly Cloudy (2009),68954,Up (2009),0.74,0.0,15.5,3.69
53000,28 Weeks Later (2007),6502,28 Days Later (2002),0.77,0.01,15.2,4.18
7570,Octopussy (1983),2947,Goldfinger (1964),0.73,0.0,15.17,3.49
52319,Inglorious Bastards (Quel maledetto treno blindato) (1978),68157,Inglourious Basterds (2009),0.74,0.0,15.15,3.61
53121,Shrek the Third (2007),8360,Shrek 2 (2004),0.77,0.0,15.11,4.21
3633,On Her Majesty's Secret Service (1969),2947,Goldfinger (1964),0.72,0.01,14.97,3.37
935,"Band Wagon, The (1953)",899,Singin' in the Rain (1952),0.81,0.0,14.91,5.05
72737,"Princess and the Frog, The (2009)",68954,Up (2009),0.71,0.0,14.85,3.3
2531,Battle for the Planet of the Apes (1973),2529,Planet of the Apes (1968),0.74,0.0,14.84,3.71
7569,You Only Live Twice (1967),2947,Goldfinger (1964),0.71,0.01,14.8,3.28
77561,Iron Man 2 (2010),59315,Iron Man (2008),0.84,0.01,14.78,5.87
6296,"Mighty Wind, A (2003)",3911,Best in Show (2000),0.7,0.01,14.76,3.23
60040,"Incredible Hulk, The (2008)",59315,Iron Man (2008),0.83,0.01,14.65,5.59
8253,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),3000,Princess Mononoke (Mononoke-hime) (1997),0.76,0.0,14.6,3.93
6713,Millennium Actress (Sennen joyû) (2001),3000,Princess Mononoke (Mononoke-hime) (1997),0.75,0.0,14.52,3.86
26903,Whisper of the Heart (Mimi wo sumaseba) (1995),3000,Princess Mononoke (Mononoke-hime) (1997),0.75,0.0,14.35,3.72
746,Force of Evil (1948),1267,"Manchurian Candidate, The (1962)",0.71,0.0,14.34,3.27
900,"American in Paris, An (1951)",899,Singin' in the Rain (1952),0.78,0.01,14.23,4.21
1068,Crossfire (1947),1267,"Manchurian Candidate, The (1962)",0.7,0.0,14.17,3.18
91535,"Bourne Legacy, The (2012)",54286,"Bourne Ultimatum, The (2007)",0.76,0.0,14.14,3.96
2810,Perfect Blue (1997),3000,Princess Mononoke (Mononoke-hime) (1997),0.73,0.0,14.13,3.57
54001,Harry Potter and the Order of the Phoenix (2007),8368,Harry Potter and the Prisoner of Azkaban (2004),0.76,0.02,14.06,4.01
27731,"Cat Returns, The (Neko no ongaeshi) (2002)",3000,Princess Mononoke (Mononoke-hime) (1997),0.73,0.0,14.05,3.51
7055,Swing Time (1936),899,Singin' in the Rain (1952),0.76,0.0,13.96,3.95
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),3000,Princess Mononoke (Mononoke-hime) (1997),0.72,0.01,13.96,3.45
26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),3000,Princess Mononoke (Mononoke-hime) (1997),0.72,0.01,13.95,3.44
63113,Quantum of Solace (2008),49272,Casino Royale (2006),0.78,0.01,13.92,4.23
31660,Steamboy (Suchîmubôi) (2004),3000,Princess Mononoke (Mononoke-hime) (1997),0.72,0.0,13.91,3.42
55805,Before the Devil Knows You're Dead (2007),55820,No Country for Old Men (2007),0.73,0.0,13.83,3.48
102125,Iron Man 3 (2013),59315,Iron Man (2008),0.79,0.01,13.83,4.39
78637,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),8360,Shrek 2 (2004),0.71,0.0,13.77,3.23
88140,Captain America: The First Avenger (2011),59315,Iron Man (2008),0.78,0.01,13.75,4.3
40815,Harry Potter and the Goblet of Fire (2005),8368,Harry Potter and the Prisoner of Azkaban (2004),0.75,0.03,13.74,3.73
106072,Thor: The Dark World (2013),59315,Iron Man (2008),0.78,0.0,13.73,4.28
8042,Mean Streets (1973),1228,Raging Bull (1980),0.72,0.0,13.73,3.35
52722,Spider-Man 3 (2007),8636,Spider-Man 2 (2004),0.74,0.01,13.69,3.65
8157,Jin Roh: The Wolf Brigade (Jin-Rô) (1998),3000,Princess Mononoke (Mononoke-hime) (1997),0.71,0.0,13.68,3.27
85736,BURN-E (2008),60069,WALL·E (2008),0.86,0.0,13.62,6.85
55363,"Assassination of Jesse James by the Coward Robert Ford, The (2007)",55820,No Country for Old Men (2007),0.72,0.0,13.6,3.33
56782,There Will Be Blood (2007),55820,No Country for Old Men (2007),0.71,0.02,13.55,3.3
8607,Tokyo Godfathers (2003),3000,Princess Mononoke (Mononoke-hime) (1997),0.7,0.0,13.51,3.18
918,Meet Me in St. Louis (1944),899,Singin' in the Rain (1952),0.74,0.01,13.5,3.58
86332,Thor (2011),59315,Iron Man (2008),0.76,0.01,13.47,4.0
8998,That's Entertainment (1974),899,Singin' in the Rain (1952),0.73,0.0,13.41,3.51
74795,Green Zone (2010),54286,"Bourne Ultimatum, The (2007)",0.72,0.0,13.41,3.4
95875,Total Recall (2012),59315,Iron Man (2008),0.76,0.0,13.41,3.95
64197,Hunger (2008),55820,No Country for Old Men (2007),0.7,0.0,13.36,3.19
106766,Inside Llewyn Davis (2013),55820,No Country for Old Men (2007),0.7,0.0,13.35,3.18
69844,Harry Potter and the Half-Blood Prince (2009),8368,Harry Potter and the Prisoner of Azkaban (2004),0.72,0.01,13.33,3.43
3606,On the Town (1949),899,Singin' in the Rain (1952),0.72,0.0,13.24,3.4
53468,Fido (2006),8874,Shaun of the Dead (2004),0.73,0.0,13.18,3.5
938,Gigi (1958),899,Singin' in the Rain (1952),0.72,0.01,13.13,3.32
27912,Outfoxed: Rupert Murdoch's War on Journalism (2004),5669,Bowling for Columbine (2002),0.72,0.0,13.11,3.38
44828,Slither (2006),8874,Shaun of the Dead (2004),0.73,0.0,13.1,3.44
3599,Anchors Aweigh (1945),899,Singin' in the Rain (1952),0.71,0.0,13.07,3.29
3697,Predator 2 (1990),3527,Predator (1987),0.73,0.01,13.05,3.48
907,"Gay Divorcee, The (1934)",899,Singin' in the Rain (1952),0.71,0.0,13.02,3.25
1999,"Exorcist III, The (1990)",1997,"Exorcist, The (1973)",0.76,0.0,12.97,3.9
970,Beat the Devil (1953),910,Some Like It Hot (1959),0.75,0.0,12.88,3.77
70336,G.I. Joe: The Rise of Cobra (2009),59315,Iron Man (2008),0.73,0.0,12.87,3.5
945,Top Hat (1935),899,Singin' in the Rain (1952),0.7,0.01,12.86,3.16
976,"Farewell to Arms, A (1932)",969,"African Queen, The (1951)",0.74,0.0,12.83,3.69
57640,Hellboy II: The Golden Army (2008),59315,Iron Man (2008),0.73,0.0,12.79,3.45
91535,"Bourne Legacy, The (2012)",8665,"Bourne Supremacy, The (2004)",0.76,0.0,12.67,3.93
61248,Death Race (2008),59315,Iron Man (2008),0.71,0.0,12.49,3.24
